2008-05-31 18:26:35 Notice: Notice (8): Undefined property:  DarkAuthComponent::$logout_page in [APP/controllers/components/dark_auth.php, line 358]
2008-05-31 20:59:31 Notice: Notice (8): Undefined property:  DarkAuthComponent::$logout_page in [APP/controllers/components/dark_auth.php, line 358]
2008-05-31 21:32:13 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 28]
2008-05-31 21:32:13 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 31]
2008-05-31 21:32:13 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 34]
2008-05-31 21:32:14 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 37]
2008-05-31 21:32:14 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 40]
2008-05-31 21:32:14 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 43]
2008-05-31 21:32:14 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 44]
2008-05-31 21:32:14 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 45]
2008-05-31 21:32:21 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 28]
2008-05-31 21:32:21 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 31]
2008-05-31 21:32:21 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 34]
2008-05-31 21:32:22 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 37]
2008-05-31 21:32:22 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 40]
2008-05-31 21:32:22 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 43]
2008-05-31 21:32:22 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 44]
2008-05-31 21:32:22 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 45]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 28]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 31]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 34]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 37]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 40]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 43]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 44]
2008-05-31 21:32:26 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 45]
2008-05-31 21:33:21 Notice: Notice (8): Undefined index:  User in [APP/views/groups/index.ctp, line 28]
